Trade ID,Symbol,Side,Entry Time,Exit Time,Entry Price,Exit Price,PnL ($),PnL (%),Reason,Leverage
20869768,ZECUSDT,LONG,2022-05-02T13:30:00.000Z,2022-05-02T17:30:00.000Z,116.09,117.64,0.73,1.30,TRAILING_STOP,10.0
e337becd,DOGEUSDT,LONG,2022-05-02T17:30:00.000Z,2022-05-02T17:45:00.000Z,0.13,0.13,-1.04,-0.61,STOP_LOSS,10.0
f1abe1d3,BNXUSDT,LONG,2022-05-02T21:00:00.000Z,2022-05-02T21:15:00.000Z,105.65,105.15,-0.83,-0.51,STOP_LOSS,10.0
0ebb70a4,BNXUSDT,LONG,2022-05-03T04:15:00.000Z,2022-05-03T05:00:00.000Z,106.18,106.04,-0.26,-0.17,TRAILING_STOP,10.0
5006f903,BTCUSDT,LONG,2022-05-03T11:15:00.000Z,2022-05-03T13:30:00.000Z,38290.29,38277.28,-0.11,-0.07,TRAILING_STOP,10.0
c7f6b369,BTCUSDT,LONG,2022-05-03T16:30:00.000Z,2022-05-03T18:00:00.000Z,38076.70,37862.78,-0.90,-0.60,STOP_LOSS,10.0
25c9dc9d,SOLUSDT,LONG,2022-05-03T17:00:00.000Z,2022-05-03T18:00:00.000Z,86.24,86.19,-0.15,-0.10,TRAILING_STOP,10.0
acbf90bf,DOGEUSDT,LONG,2022-05-03T18:00:00.000Z,2022-05-03T18:15:00.000Z,0.13,0.13,-0.41,-0.28,STOP_LOSS,10.0
9d5d9cdf,ETHUSDT,LONG,2022-05-03T18:30:00.000Z,2022-05-03T19:30:00.000Z,2773.51,2759.77,-0.92,-0.54,STOP_LOSS,10.0
00e97cc8,SOLUSDT,LONG,2022-05-03T20:15:00.000Z,2022-05-03T21:15:00.000Z,84.73,86.37,1.39,1.89,TAKE_PROFIT_1,10.0
e9a766d7,DOGEUSDT,LONG,2022-05-03T19:30:00.000Z,2022-05-03T22:15:00.000Z,0.13,0.13,1.92,2.42,TAKE_PROFIT_1,10.0
2b6808e7,BNXUSDT,LONG,2022-05-03T23:00:00.000Z,2022-05-04T01:15:00.000Z,106.03,108.01,1.66,1.83,TAKE_PROFIT_1,10.0
e9a766d7,DOGEUSDT,LONG,2022-05-03T19:30:00.000Z,2022-05-04T12:15:00.000Z,0.13,0.13,1.76,3.32,TRAILING_STOP,10.0
2b6808e7,BNXUSDT,LONG,2022-05-03T23:00:00.000Z,2022-05-04T12:45:00.000Z,106.03,111.49,3.09,5.11,TRAILING_STOP,10.0
00e97cc8,SOLUSDT,LONG,2022-05-03T20:15:00.000Z,2022-05-04T15:15:00.000Z,84.73,86.37,0.93,1.89,TRAILING_STOP,10.0
c38df76b,DOGEUSDT,LONG,2022-05-05T05:45:00.000Z,2022-05-05T06:45:00.000Z,0.13,0.13,-0.12,-0.05,TRAILING_STOP,10.0
91280293,BNXUSDT,LONG,2022-05-05T07:00:00.000Z,2022-05-05T07:30:00.000Z,113.30,113.21,-0.28,-0.12,TRAILING_STOP,10.0
c611d352,BNXUSDT,LONG,2022-05-05T09:30:00.000Z,2022-05-05T11:15:00.000Z,112.06,114.18,2.47,1.85,TAKE_PROFIT_1,10.0
c611d352,BNXUSDT,LONG,2022-05-05T09:30:00.000Z,2022-05-05T13:00:00.000Z,112.06,112.13,0.02,0.02,TRAILING_STOP,10.0
248f3ef7,DOGEUSDT,LONG,2022-05-05T14:30:00.000Z,2022-05-05T14:45:00.000Z,0.13,0.13,-0.35,-0.14,TRAILING_STOP,10.0
0d53b0e2,BTCUSDT,LONG,2022-05-05T15:00:00.000Z,2022-05-05T15:15:00.000Z,36684.68,37244.52,2.54,1.49,STOP_LOSS,10.0
aa64c74d,SOLUSDT,LONG,2022-05-05T15:00:00.000Z,2022-05-05T15:15:00.000Z,85.48,85.32,-0.52,-0.23,TRAILING_STOP,10.0
23bef582,ETHUSDT,LONG,2022-05-05T15:00:00.000Z,2022-05-05T15:45:00.000Z,2741.21,2738.26,-0.25,-0.15,TRAILING_STOP,10.0
f488fa46,SOLUSDT,LONG,2022-05-05T15:45:00.000Z,2022-05-05T16:00:00.000Z,84.41,84.31,-0.43,-0.17,TRAILING_STOP,10.0
00f55221,SOLUSDT,LONG,2022-05-05T17:45:00.000Z,2022-05-05T18:00:00.000Z,83.10,83.56,1.29,0.51,STOP_LOSS,10.0
d31d7085,BTCUSDT,LONG,2022-05-05T18:15:00.000Z,2022-05-05T18:30:00.000Z,36088.50,36262.55,1.15,0.44,STOP_LOSS,10.0
8f16d05b,ETHUSDT,LONG,2022-05-05T18:15:00.000Z,2022-05-05T19:00:00.000Z,2709.60,2707.88,-0.27,-0.10,TRAILING_STOP,10.0
0f15064c,XRPUSDT,LONG,2022-05-05T18:15:00.000Z,2022-05-05T19:00:00.000Z,0.59,0.59,-0.32,-0.19,TRAILING_STOP,10.0
221bbbdb,BTCUSDT,LONG,2022-05-05T19:00:00.000Z,2022-05-05T19:15:00.000Z,35851.66,35824.20,-0.32,-0.12,TRAILING_STOP,10.0
71514eaa,ETHUSDT,LONG,2022-05-05T19:15:00.000Z,2022-05-05T20:45:00.000Z,2687.04,2753.48,3.88,2.43,TAKE_PROFIT_1,10.0
81c5b398,SOLUSDT,LONG,2022-05-06T04:00:00.000Z,2022-05-06T04:15:00.000Z,81.86,82.13,0.84,0.28,STOP_LOSS,10.0
207932b3,SOLUSDT,LONG,2022-05-06T07:30:00.000Z,2022-05-06T07:45:00.000Z,81.20,82.76,3.46,1.87,TAKE_PROFIT_1,10.0
537d3070,DOGEUSDT,LONG,2022-05-06T07:30:00.000Z,2022-05-06T07:45:00.000Z,0.13,0.13,1.94,0.63,STOP_LOSS,10.0
3ffc70e1,BNXUSDT,LONG,2022-05-06T07:30:00.000Z,2022-05-06T07:45:00.000Z,109.11,111.86,4.57,2.48,TAKE_PROFIT_1,10.0
71514eaa,ETHUSDT,LONG,2022-05-05T19:15:00.000Z,2022-05-06T10:45:00.000Z,2687.04,2682.78,-0.21,-0.20,BREAKEVEN,10.0
207932b3,SOLUSDT,LONG,2022-05-06T07:30:00.000Z,2022-05-06T11:00:00.000Z,81.20,81.05,-0.28,-0.23,BREAKEVEN,10.0
3ffc70e1,BNXUSDT,LONG,2022-05-06T07:30:00.000Z,2022-05-06T11:15:00.000Z,109.11,111.49,2.63,2.14,TRAILING_STOP,10.0
606d9948,ETHUSDT,LONG,2022-05-06T11:15:00.000Z,2022-05-06T11:30:00.000Z,2662.97,2661.64,-0.36,-0.09,TRAILING_STOP,10.0
1f99c389,XRPUSDT,LONG,2022-05-06T11:00:00.000Z,2022-05-06T12:30:00.000Z,0.59,0.60,4.16,1.72,TAKE_PROFIT_1,10.0
d64a7382,BTCUSDT,LONG,2022-05-06T11:00:00.000Z,2022-05-06T12:45:00.000Z,35755.00,35732.81,-0.27,-0.10,TRAILING_STOP,10.0
1f99c389,XRPUSDT,LONG,2022-05-06T11:00:00.000Z,2022-05-06T13:30:00.000Z,0.59,0.59,-0.43,-0.27,BREAKEVEN,10.0
11a2c5d2,SOLUSDT,LONG,2022-05-06T13:30:00.000Z,2022-05-06T13:45:00.000Z,80.20,80.13,-0.54,-0.13,TRAILING_STOP,10.0
8fa2a50a,SOLUSDT,LONG,2022-05-07T02:15:00.000Z,2022-05-07T03:15:00.000Z,81.18,80.71,-2.75,-0.62,STOP_LOSS,10.0
55933abf,BNXUSDT,LONG,2022-05-07T02:15:00.000Z,2022-05-07T04:00:00.000Z,112.89,112.20,-2.90,-0.65,STOP_LOSS,10.0
602cb558,SOLUSDT,LONG,2022-05-07T04:45:00.000Z,2022-05-07T05:00:00.000Z,79.34,79.48,0.54,0.14,STOP_LOSS,10.0
bc4ccf2e,BNXUSDT,LONG,2022-05-07T17:30:00.000Z,2022-05-07T17:45:00.000Z,109.80,109.78,-0.21,-0.06,TRAILING_STOP,10.0
9552f1ab,BTCUSDT,LONG,2022-05-07T03:30:00.000Z,2022-05-07T20:30:00.000Z,35779.41,35784.59,-0.11,-0.03,TRAILING_STOP,10.0
e940e7b8,ZECUSDT,LONG,2022-05-07T21:00:00.000Z,2022-05-07T21:15:00.000Z,114.17,114.88,1.02,0.59,STOP_LOSS,10.0
96847398,XRPUSDT,LONG,2022-05-07T21:00:00.000Z,2022-05-07T21:15:00.000Z,0.58,0.58,-0.31,-0.07,TRAILING_STOP,10.0
96431588,SOLUSDT,LONG,2022-05-07T21:00:00.000Z,2022-05-07T21:45:00.000Z,80.13,79.58,-2.80,-0.72,STOP_LOSS,10.0
83c7055b,BNXUSDT,LONG,2022-05-07T21:00:00.000Z,2022-05-07T21:45:00.000Z,108.13,108.03,-0.49,-0.13,TRAILING_STOP,10.0
883c9a70,ZECUSDT,LONG,2022-05-07T21:45:00.000Z,2022-05-07T22:00:00.000Z,112.19,113.04,2.77,0.72,STOP_LOSS,10.0
5537cde2,ETHUSDT,LONG,2022-05-07T21:45:00.000Z,2022-05-07T22:15:00.000Z,2620.57,2619.62,-0.34,-0.08,TRAILING_STOP,10.0
f18cbf02,SOLUSDT,LONG,2022-05-07T22:45:00.000Z,2022-05-07T23:00:00.000Z,77.22,77.71,2.24,0.60,STOP_LOSS,10.0
9ef80c09,ZECUSDT,LONG,2022-05-07T22:45:00.000Z,2022-05-07T23:00:00.000Z,110.26,110.97,2.24,0.60,STOP_LOSS,10.0
d65a48da,BTCUSDT,LONG,2022-05-08T01:45:00.000Z,2022-05-08T02:00:00.000Z,34740.55,34531.77,-2.65,-0.64,STOP_LOSS,10.0
4a7b8ca2,ZECUSDT,LONG,2022-05-08T02:00:00.000Z,2022-05-08T02:15:00.000Z,109.86,109.19,-2.69,-0.65,STOP_LOSS,10.0
4d9ca5aa,SOLUSDT,LONG,2022-05-08T02:45:00.000Z,2022-05-08T03:00:00.000Z,76.07,75.98,-0.59,-0.16,TRAILING_STOP,10.0
ef5ff43c,XRPUSDT,LONG,2022-05-08T03:00:00.000Z,2022-05-08T05:00:00.000Z,0.57,0.57,-0.30,-0.08,TRAILING_STOP,10.0
cac7332b,ALPACAUSDT,LONG,2022-05-08T05:30:00.000Z,2022-05-08T06:45:00.000Z,0.40,0.41,2.13,2.10,TAKE_PROFIT_1,10.0
cac7332b,ALPACAUSDT,LONG,2022-05-08T05:30:00.000Z,2022-05-08T13:30:00.000Z,0.40,0.45,7.93,11.69,TRAILING_STOP,10.0
4e0cc788,ETHUSDT,LONG,2022-05-08T03:00:00.000Z,2022-05-08T13:45:00.000Z,2521.09,2518.41,-0.52,-0.15,TRAILING_STOP,10.0
9b8968ca,ZECUSDT,LONG,2022-05-08T13:45:00.000Z,2022-05-08T14:00:00.000Z,111.50,110.92,-2.05,-0.56,STOP_LOSS,10.0
4d0039f6,SOLUSDT,LONG,2022-05-08T13:45:00.000Z,2022-05-08T14:15:00.000Z,77.06,77.02,-0.34,-0.09,TRAILING_STOP,10.0
4951eb5e,ETHUSDT,LONG,2022-05-08T14:15:00.000Z,2022-05-08T14:45:00.000Z,2515.12,2514.38,-0.29,-0.07,TRAILING_STOP,10.0
dac63229,BTCUSDT,LONG,2022-05-08T17:00:00.000Z,2022-05-08T17:15:00.000Z,33786.89,34057.86,3.12,0.76,STOP_LOSS,10.0
9d76dae7,ZECUSDT,LONG,2022-05-08T17:00:00.000Z,2022-05-08T17:15:00.000Z,111.09,110.22,-3.34,-0.82,STOP_LOSS,10.0
aa2ac567,BNXUSDT,LONG,2022-05-08T17:00:00.000Z,2022-05-08T17:30:00.000Z,106.29,105.96,-1.44,-0.35,TRAILING_STOP,10.0
64809fe6,SOLUSDT,LONG,2022-05-08T17:30:00.000Z,2022-05-08T17:45:00.000Z,73.85,74.30,2.22,0.56,STOP_LOSS,10.0
52b72aa0,ETHUSDT,LONG,2022-05-08T17:00:00.000Z,2022-05-08T18:30:00.000Z,2489.52,2556.49,6.47,2.65,TAKE_PROFIT_1,10.0
1bd223ca,ALPACAUSDT,LONG,2022-05-08T17:00:00.000Z,2022-05-08T18:30:00.000Z,0.41,0.42,5.54,2.27,TAKE_PROFIT_1,10.0
64ce6205,BNXUSDT,LONG,2022-05-08T23:15:00.000Z,2022-05-08T23:30:00.000Z,104.00,103.91,-0.65,-0.13,TRAILING_STOP,10.0
52b72aa0,ETHUSDT,LONG,2022-05-08T17:00:00.000Z,2022-05-08T23:45:00.000Z,2489.52,2511.40,1.37,0.84,TRAILING_STOP,10.0
0e84ec20,SOLUSDT,LONG,2022-05-08T23:45:00.000Z,2022-05-09T00:30:00.000Z,74.78,76.06,5.22,1.68,TAKE_PROFIT_1,10.0
6cc1466b,XRPUSDT,LONG,2022-05-08T17:00:00.000Z,2022-05-09T01:15:00.000Z,0.56,0.58,7.67,3.14,TAKE_PROFIT_1,10.0
34f4ce2e,ETHUSDT,LONG,2022-05-09T01:45:00.000Z,2022-05-09T02:00:00.000Z,2504.66,2491.16,-3.02,-0.58,STOP_LOSS,10.0
0e84ec20,SOLUSDT,LONG,2022-05-08T23:45:00.000Z,2022-05-09T02:15:00.000Z,74.78,74.84,0.08,0.04,TRAILING_STOP,10.0
7aac00e2,DOGEUSDT,LONG,2022-05-08T17:00:00.000Z,2022-05-09T02:15:00.000Z,0.12,0.12,-0.84,-0.19,TRAILING_STOP,10.0
4a9b6745,ZECUSDT,LONG,2022-05-09T02:00:00.000Z,2022-05-09T02:15:00.000Z,112.68,112.42,-1.79,-0.27,TRAILING_STOP,10.0
6cc1466b,XRPUSDT,LONG,2022-05-08T17:00:00.000Z,2022-05-09T02:15:00.000Z,0.56,0.57,2.26,1.39,TRAILING_STOP,10.0
6d225ed7,BTCUSDT,LONG,2022-05-09T02:15:00.000Z,2022-05-09T02:30:00.000Z,33490.53,33466.68,-0.42,-0.11,TRAILING_STOP,10.0
b50db5df,ZECUSDT,LONG,2022-05-09T02:45:00.000Z,2022-05-09T03:00:00.000Z,110.15,112.04,6.09,1.67,TAKE_PROFIT_1,10.0
1bd223ca,ALPACAUSDT,LONG,2022-05-08T17:00:00.000Z,2022-05-09T03:30:00.000Z,0.41,0.43,5.00,3.07,TRAILING_STOP,10.0
e53c5d91,ALPACAUSDT,LONG,2022-05-09T06:00:00.000Z,2022-05-09T07:15:00.000Z,0.42,0.42,-1.07,-0.15,TRAILING_STOP,10.0
f1dd22fb,XRPUSDT,LONG,2022-05-09T07:15:00.000Z,2022-05-09T07:45:00.000Z,0.55,0.55,-0.68,-0.09,TRAILING_STOP,10.0
b50db5df,ZECUSDT,LONG,2022-05-09T02:45:00.000Z,2022-05-09T08:15:00.000Z,110.15,109.95,-0.54,-0.22,BREAKEVEN,10.0
7a322847,XRPUSDT,LONG,2022-05-09T08:00:00.000Z,2022-05-09T08:15:00.000Z,0.55,0.55,-5.72,-0.82,STOP_LOSS,10.0
cf939b91,ALPACAUSDT,LONG,2022-05-09T09:30:00.000Z,2022-05-09T10:00:00.000Z,0.42,0.42,-3.67,-0.58,STOP_LOSS,10.0
d09994c1,ETHUSDT,LONG,2022-05-09T10:15:00.000Z,2022-05-09T10:30:00.000Z,2414.48,2411.83,-0.91,-0.15,TRAILING_STOP,10.0
64b6fd37,ZECUSDT,LONG,2022-05-09T10:30:00.000Z,2022-05-09T10:45:00.000Z,105.05,107.38,12.77,2.18,STOP_LOSS,10.0
c7cb563e,ALPACAUSDT,LONG,2022-05-09T12:00:00.000Z,2022-05-09T12:15:00.000Z,0.40,0.40,-0.81,-0.12,TRAILING_STOP,10.0
fd561d8e,SOLUSDT,LONG,2022-05-09T13:15:00.000Z,2022-05-09T13:30:00.000Z,70.67,70.33,-3.66,-0.52,STOP_LOSS,10.0
725767f1,BNXUSDT,LONG,2022-05-09T13:00:00.000Z,2022-05-09T13:30:00.000Z,103.77,105.73,6.38,1.85,TAKE_PROFIT_1,10.0
e673e808,ALPACAUSDT,LONG,2022-05-09T14:00:00.000Z,2022-05-09T14:15:00.000Z,0.40,0.40,-0.91,-0.13,TRAILING_STOP,10.0
4f438385,SOLUSDT,LONG,2022-05-09T14:30:00.000Z,2022-05-09T15:15:00.000Z,70.37,70.28,-1.21,-0.17,TRAILING_STOP,10.0
8c5bcc79,ZECUSDT,LONG,2022-05-09T15:00:00.000Z,2022-05-09T15:15:00.000Z,101.88,102.58,4.55,0.65,STOP_LOSS,10.0
e56b4028,BTCUSDT,LONG,2022-05-09T15:15:00.000Z,2022-05-09T15:30:00.000Z,32291.44,32264.44,-0.86,-0.12,TRAILING_STOP,10.0
8ebd6596,ALPACAUSDT,LONG,2022-05-09T15:15:00.000Z,2022-05-09T15:30:00.000Z,0.40,0.40,-0.76,-0.11,TRAILING_STOP,10.0
725767f1,BNXUSDT,LONG,2022-05-09T13:00:00.000Z,2022-05-09T15:45:00.000Z,103.77,106.27,5.45,2.37,TRAILING_STOP,10.0
de43b907,XRPUSDT,LONG,2022-05-09T15:30:00.000Z,2022-05-09T16:30:00.000Z,0.52,0.52,-1.63,-0.24,TRAILING_STOP,10.0
90766285,ETHUSDT,LONG,2022-05-09T16:45:00.000Z,2022-05-09T17:00:00.000Z,2325.24,2322.37,-1.22,-0.16,STOP_LOSS,10.0
07bc5e9a,BTCUSDT,LONG,2022-05-09T18:15:00.000Z,2022-05-09T18:30:00.000Z,30899.38,30835.43,-1.80,-0.25,TRAILING_STOP,10.0
df87a2b2,ETHUSDT,LONG,2022-05-10T00:00:00.000Z,2022-05-10T00:15:00.000Z,2213.26,2209.80,-1.39,-0.20,TRAILING_STOP,10.0
734d4d62,ZECUSDT,LONG,2022-05-10T00:30:00.000Z,2022-05-10T00:45:00.000Z,90.85,91.88,4.53,1.09,TAKE_PROFIT_1,10.0
7a7e8042,BNXUSDT,LONG,2022-05-10T14:15:00.000Z,2022-05-10T14:30:00.000Z,107.38,106.57,-5.85,-0.80,STOP_LOSS,10.0
8dbf48b0,XRPUSDT,LONG,2022-05-10T14:45:00.000Z,2022-05-10T15:00:00.000Z,0.51,0.51,-1.40,-0.19,TRAILING_STOP,10.0
125eb088,ETHUSDT,LONG,2022-05-10T15:00:00.000Z,2022-05-10T15:15:00.000Z,2329.69,2324.94,-1.79,-0.24,STOP_LOSS,10.0
c44514a8,BNXUSDT,LONG,2022-05-10T15:00:00.000Z,2022-05-10T15:15:00.000Z,104.81,106.49,6.28,1.57,TAKE_PROFIT_1,10.0
734d4d62,ZECUSDT,LONG,2022-05-10T00:30:00.000Z,2022-05-10T20:30:00.000Z,90.85,93.49,7.93,2.87,TRAILING_STOP,10.0
a677d783,SOLUSDT,LONG,2022-05-10T20:30:00.000Z,2022-05-10T20:45:00.000Z,65.92,66.25,3.21,0.46,STOP_LOSS,10.0
e261ed1f,DOGEUSDT,LONG,2022-05-10T20:30:00.000Z,2022-05-10T20:45:00.000Z,0.11,0.11,-4.27,-0.61,STOP_LOSS,10.0
8c80d970,ALPACAUSDT,LONG,2022-05-10T20:30:00.000Z,2022-05-10T21:00:00.000Z,0.35,0.35,-4.40,-0.60,STOP_LOSS,10.0
9748f5e6,ETHUSDT,LONG,2022-05-10T21:00:00.000Z,2022-05-10T21:15:00.000Z,2311.70,2309.34,-1.07,-0.14,TRAILING_STOP,10.0
c44514a8,BNXUSDT,LONG,2022-05-10T15:00:00.000Z,2022-05-10T21:15:00.000Z,104.81,104.73,-0.31,-0.12,BREAKEVEN,10.0
fcaea53c,SOLUSDT,LONG,2022-05-10T21:15:00.000Z,2022-05-10T21:30:00.000Z,65.12,64.73,-4.47,-0.63,STOP_LOSS,10.0
1870f8ff,ALPACAUSDT,LONG,2022-05-10T22:15:00.000Z,2022-05-10T22:30:00.000Z,0.34,0.34,-3.43,-0.53,TRAILING_STOP,10.0
fdf6ce7a,SOLUSDT,LONG,2022-05-11T06:30:00.000Z,2022-05-11T06:45:00.000Z,64.28,64.10,-1.95,-0.32,STOP_LOSS,10.0
aad3fe92,DOGEUSDT,LONG,2022-05-11T06:30:00.000Z,2022-05-11T06:45:00.000Z,0.11,0.10,-3.49,-0.57,STOP_LOSS,10.0
f9d40769,ZECUSDT,LONG,2022-05-11T06:30:00.000Z,2022-05-11T06:45:00.000Z,89.23,89.29,0.15,0.02,STOP_LOSS,10.0
12dfbe83,XRPUSDT,LONG,2022-05-11T06:45:00.000Z,2022-05-11T07:00:00.000Z,0.50,0.50,5.78,0.96,STOP_LOSS,10.0
fd7ad698,BNXUSDT,LONG,2022-05-11T06:45:00.000Z,2022-05-11T07:00:00.000Z,103.92,103.48,-2.81,-0.46,TRAILING_STOP,10.0
4f1d0c27,ETHUSDT,LONG,2022-05-11T07:30:00.000Z,2022-05-11T07:45:00.000Z,2272.71,2269.11,-1.14,-0.20,TRAILING_STOP,10.0
872bc608,BTCUSDT,LONG,2022-05-11T07:30:00.000Z,2022-05-11T08:00:00.000Z,30246.47,30747.70,6.27,1.62,TAKE_PROFIT_1,10.0
872bc608,BTCUSDT,LONG,2022-05-11T07:30:00.000Z,2022-05-11T12:30:00.000Z,30246.47,30731.72,4.04,1.56,TRAILING_STOP,10.0
ccffdf28,DOGEUSDT,LONG,2022-05-11T12:30:00.000Z,2022-05-11T12:45:00.000Z,0.09,0.10,26.07,4.20,STOP_LOSS,10.0
0ae4ee8c,ETHUSDT,LONG,2022-05-11T19:30:00.000Z,2022-05-11T19:45:00.000Z,2113.43,2112.76,-0.66,-0.07,STOP_LOSS,10.0
ca636516,ALPACAUSDT,LONG,2022-05-11T19:30:00.000Z,2022-05-11T19:45:00.000Z,0.29,0.29,-3.78,-0.41,TRAILING_STOP,10.0
1e49065e,BTCUSDT,LONG,2022-05-11T20:15:00.000Z,2022-05-11T20:45:00.000Z,29056.51,28949.88,-3.74,-0.41,TRAILING_STOP,10.0
d87623c6,ETHUSDT,LONG,2022-05-11T20:15:00.000Z,2022-05-11T20:45:00.000Z,2091.42,2082.30,-4.13,-0.48,TRAILING_STOP,10.0
17eba02c,SOLUSDT,LONG,2022-05-11T20:30:00.000Z,2022-05-11T20:45:00.000Z,44.17,46.40,43.14,5.02,STOP_LOSS,10.0
61652796,XRPUSDT,LONG,2022-05-11T20:45:00.000Z,2022-05-11T21:00:00.000Z,0.37,0.40,67.96,7.94,STOP_LOSS,10.0
008d6d8e,BTCUSDT,LONG,2022-05-11T21:15:00.000Z,2022-05-11T21:30:00.000Z,27902.62,28662.77,30.35,2.68,TAKE_PROFIT_1,10.0
2dcd5df5,SOLUSDT,LONG,2022-05-11T21:15:00.000Z,2022-05-11T21:30:00.000Z,43.42,44.49,17.51,2.42,TAKE_PROFIT_1,10.0
94ba5fed,ETHUSDT,LONG,2022-05-11T21:30:00.000Z,2022-05-11T21:45:00.000Z,2031.44,2062.81,16.90,1.50,TAKE_PROFIT_1,10.0
94ba5fed,ETHUSDT,LONG,2022-05-11T21:30:00.000Z,2022-05-12T03:00:00.000Z,2031.44,2025.97,-2.31,-0.31,BREAKEVEN,10.0
b45a9d60,ZECUSDT,LONG,2022-05-12T03:15:00.000Z,2022-05-12T03:30:00.000Z,76.03,77.58,30.13,2.00,TAKE_PROFIT_1,10.0
b45a9d60,ZECUSDT,LONG,2022-05-12T03:15:00.000Z,2022-05-12T03:30:00.000Z,76.03,75.66,-5.22,-0.52,BREAKEVEN,10.0
2dcd5df5,SOLUSDT,LONG,2022-05-11T21:15:00.000Z,2022-05-12T03:45:00.000Z,43.42,44.92,16.46,3.41,TRAILING_STOP,10.0
008d6d8e,BTCUSDT,LONG,2022-05-11T21:15:00.000Z,2022-05-12T04:00:00.000Z,27902.62,27962.14,1.31,0.17,TRAILING_STOP,10.0
ee610baf,ETHUSDT,LONG,2022-05-12T03:45:00.000Z,2022-05-12T04:00:00.000Z,1977.92,1989.23,14.51,0.53,STOP_LOSS,10.0
82553df4,BNXUSDT,LONG,2022-05-12T04:00:00.000Z,2022-05-12T04:15:00.000Z,98.26,98.57,6.64,0.27,STOP_LOSS,10.0
bcf9e856,ETHUSDT,LONG,2022-05-12T04:30:00.000Z,2022-05-12T04:45:00.000Z,1922.38,1916.61,-10.54,-0.34,TRAILING_STOP,10.0
942c5870,BTCUSDT,LONG,2022-05-12T05:45:00.000Z,2022-05-12T06:00:00.000Z,26903.23,27380.45,30.98,1.73,TAKE_PROFIT_1,10.0
0103c274,ALPACAUSDT,LONG,2022-05-12T06:45:00.000Z,2022-05-12T07:00:00.000Z,0.26,0.27,26.46,1.88,TAKE_PROFIT_1,10.0
942c5870,BTCUSDT,LONG,2022-05-12T05:45:00.000Z,2022-05-12T07:15:00.000Z,26903.23,26724.26,-8.40,-0.70,BREAKEVEN,10.0
0103c274,ALPACAUSDT,LONG,2022-05-12T06:45:00.000Z,2022-05-12T09:45:00.000Z,0.26,0.29,105.67,11.27,TRAILING_STOP,10.0
d75b58dc,ETHUSDT,LONG,2022-05-12T21:45:00.000Z,2022-05-12T22:30:00.000Z,1897.65,1895.66,-6.52,-0.14,TRAILING_STOP,10.0
72a93514,ALPACAUSDT,LONG,2022-05-12T22:30:00.000Z,2022-05-13T01:30:00.000Z,0.31,0.31,54.73,2.03,TAKE_PROFIT_1,10.0
72a93514,ALPACAUSDT,LONG,2022-05-12T22:30:00.000Z,2022-05-13T06:45:00.000Z,0.31,0.32,62.65,3.49,TRAILING_STOP,10.0
e9339d95,ALPACAUSDT,LONG,2022-05-13T15:45:00.000Z,2022-05-13T16:15:00.000Z,0.32,0.32,-6.21,-0.11,TRAILING_STOP,10.0
5ec6fba0,DOGEUSDT,LONG,2022-05-13T16:15:00.000Z,2022-05-13T16:30:00.000Z,0.09,0.09,-52.32,-0.94,STOP_LOSS,10.0
2ad36607,BTCUSDT,LONG,2022-05-13T16:30:00.000Z,2022-05-13T16:45:00.000Z,29792.08,29946.15,26.60,0.48,STOP_LOSS,10.0
